third-party,Actor Type,Relative Actor Type,,
Kenya,Kenya,,,
United Kingdom,United Kingdom,,,
United States of America,United States of America,,,
Norway,Norway,,,
Italy,Italy,,,
Arab League,Arab League,,,
IGAD,IGAD,,,
Eritrea,Eritrea,,,
Ethiopia,Ethiopia,,,
Uganda,Uganda,,,
Kenya,Kenya,,,
United Kingdom,United Kingdom,,,
United States of America,United States of America,,,
Norway,Norway,,,
Italy,Italy,,,
Darfur Security Committee,N,R,,
Chad,S,R,,
Chad,Chad,,,
Chad,Chad,,,
Chad,Chad,,,
Saudi Arabia,S,R,,
Chad,Chad,,,
AU,R,R,,
AU,AU,,,
EU,G,G,,
United States of America,United States of America,,,
EU,EU,,,
United States of America,United States of America,,,
AU ,AU ,,,
EU,EU,,,
United States of America,United States of America,,,
AU,AU,,,
AU ,AU ,,,
Egypt,Egypt,,,
IGAD,IGAD,,,
Eritrea,Eritrea,,,
Ethiopia,Ethiopia,,,
Uganda,Uganda,,,
Kenya,Kenya,,,
United Kingdom,United Kingdom,,,
United States of America,United States of America,,,
Norway,Norway,,,
Italy,Italy,,,
IGAD,IGAD,,,
Eritrea,Eritrea,,,
Ethiopia,Ethiopia,,,
Uganda,Uganda,,,
Kenya,Kenya,,,
United Kingdom,United Kingdom,,,
United States of America,United States of America,,,
Norway,Norway,,,
Italy,Italy,,,
IGAD,IGAD,,,
Eritrea,Eritrea,,,
Ethiopia,Ethiopia,,,
Uganda,Uganda,,,
Kenya,Kenya,,,
United Kingdom,United Kingdom,,,
United States of America,United States of America,,,
Norway,Norway,,,
Italy,Italy,,,
IGAD,IGAD,,,
Eritrea,Eritrea,,,
Ethiopia,Ethiopia,,,
Uganda,Uganda,,,
Kenya,Kenya,,,
United Kingdom,United Kingdom,,,
United States of America,United States of America,,,
Norway,Norway,,,
Italy,Italy,,,
UN,UN,,,
Algeria,S,R,,
Angola,S,R,,
Benin,S,R,,
Brazil,S,G,,
France,S,G,,
Germany,S,G,,
Pakistan,S,G,,
Philippines,S,G,,
Romania,S,G,,
Russia,S,G,,
Spain,S,G,,
IGAD,IGAD,,,
Eritrea,Eritrea,,,
Ethiopia,Ethiopia,,,
Uganda,Uganda,,,
Kenya,Kenya,,,
United Kingdom,United Kingdom,,,
United States of America,United States of America,,,
Norway,Norway,,,
Italy,Italy,,,
Chad,Chad,,,
UN,UN,,,
EU,EU,,,
AU,AU,,,
Chad,Chad,,,
AU ,AU ,,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Egypt,Egypt,,,
Italy,Italy,,,
Netherlands,S,G,,
Norway,Norway,,,
United Kingdom,United Kingdom,,,
United States of America,United States of America,,,
AU,AU,,,
EU,EU,,,
Arab League,Arab League,,,
IPF,G,G,,
UN,UN,,,
Egypt,Egypt,,,
Egypt,Egypt,,,
Egypt,Egypt,,,
AU,AU,,,
Chad,Chad,,,
AU ,AU ,,,
AU,AU,,,
AU,AU,,,
AU,AU,,,
UN,UN,,,
United States of America,United States of America,,,
United Kingdom,United Kingdom,,,
EU,EU,,,
United States of America,United States of America,,,
EU,EU,,,
UN,UN,,,
UN,UN,,,
AU,AU,,,
Qatar,S,G,,
Qatar,Qatar,,,
AU ,AU ,,,
UN,UN,,,
Chad,Chad,,,
UN,UN,,,
AU,AU,,,
AU,AU,,,
Chad,Chad,,,
AU,AU,,,
Chad,Chad,,,
Qatar,Qatar,,,
Qatar,Qatar,,,
Qatar,Qatar,,,
Episcopal Church of Sudan,N,R,,
AU,AU,,,
AU,AU,,,
AU,AU,,,
AU,AU,,,
AU,AU,,,
AU,AU,,,
AU,AU,,,
Ethiopia,Ethiopia,,,
Ethiopia,Ethiopia,,,
AU,AU,,,
AU,AU,,,
AU,AU,,,
AU,AU,,,
South Sudan Council of Churches,N,R,,
IGAD,IGAD,,,
AU,AU,,,
UN,UN,,,
AU,AU,,,
UN,UN,,,
AU,AU,,,
AU,AU,,,
AU,AU,,,
AU,AU,,,
AU,AU,,,
AU,AU,,,
Ethiopia,Ethiopia,,,
AU,AU,,,
UN,UN,,,
AU,AU,,,
UN,UN,,,
AU,AU,,,
AU,AU,,,
Ethiopia,Ethiopia,,,
AU,AU,,,
Qatar,Qatar,,,
AU,AU,,,
AU,AU,,,
AU,AU,,,
AU,AU,,,
AU,AU,,,
AU,AU,,,
AU ,AU ,,,
AU ,AU ,,,
AU ,AU ,,,
UN,UN,,,
Qatar,Qatar,,,
James Ellery,N,G,,
UN,UN,,,
James Ellery,James Ellery,,,
UN,UN,,,
Local Murle elites,N,R,,
Equatorian Church Leaders,N,R,,
PAX,N,G,,
Norwegian Church Aid,N,G,,
UN,UN,,,
AU,AU,,,
Shilluk reth,N,R,,
Shilluk reth,Shilluk reth,,,
Shilluk reth,Shilluk reth,,,
IGAD,IGAD,,,
UN,UN,,,
AU,AU,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
Sudan,S,R,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
Sudan,Sudan,,,
South Sudanese Church Leaders,N,R,,
AU,AU,,,
AU,AU,,,
AU,AU,,,
UN,UN,,,
Chad,Chad,,,
UN,UN,,,
AU,AU,,,
AU,AU,,,
AU,AU,,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
Sudan,Sudan,,,
Chad,Chad,,,
Russia,Russia,,,
AU,AU,,,
AU,AU,,,
AU,AU,,,
Ethiopia,Ethiopia,,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
Sudan,Sudan,,,
Tanzania,S,R,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
Sudan,Sudan,,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
Sudan,Sudan,,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
Sudan,Sudan,,,
AU,AU,,,
Kenya,Kenya,,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
Sudan,Sudan,,,
UN,UN,,,
United Kingdom,United Kingdom,,,
United States of America,United States of America,,,
EU,EU,,,
Norway,Norway,,,
China,S,G,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
Sudan,Sudan,,,
UN,UN,,,
United Kingdom,United Kingdom,,,
United States of America,United States of America,,,
EU,EU,,,
Norway,Norway,,,
China,China,,,
IGAD,IGAD,,,
United States of America,United States of America,,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
Sudan,Sudan,,,
Djibouti,S,R,,
Somalia,S,R,,
UN,UN,,,
United Kingdom,United Kingdom,,,
United States of America,United States of America,,,
EU,EU,,,
Norway,Norway,,,
China,China,,,
Algeria,Algeria,,,
Chad,Chad,,,
Nigeria,Nigeria,,,
Rwanda,S,R,,
South Africa,South Africa,,,
AU,AU,,,
IPF,IPF,,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
Sudan,Sudan,,,
AU,AU,,,
United States of America,United States of America,,,
Chad,Chad,,,
AU,AU,,,
Qatar,Qatar,,,
Germany,Germany,,,
AU,AU,,,
Ethiopia,Ethiopia,,,
AU,AU,,,
United States of America,United States of America,,,
Ethiopia,Ethiopia,,,
AU,AU,,,
AU,AU,,,
Ethiopia,Ethiopia,,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
Sudan,Sudan,,,
AU,AU,,,
IGAD,IGAD,,,
Uganda,Uganda,,,
Egypt,Egypt,,,
Uganda,Uganda,,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
Sudan,Sudan,,,
Somalia,Somalia,,,
Djibouti,Djibouti,,,
AU,AU,,,
Algeria,Algeria,,,
Rwanda,Rwanda,,,
South Africa,South Africa,,,
Chad,Chad,,,
Nigeria,Nigeria,,,
Angola,Angola,,,
Ghana,S,R,,
Norway,Norway,,,
China,China,,,
United Kingdom,United Kingdom,,,
United States of America,United States of America,,,
UN,UN,,,
EU,EU,,,
IPF,IPF,,,
Egypt,Egypt,,,
Uganda,Uganda,,,
Community of Sant’ Egidio,N,G,,
AU,AU,,,
Qatar,Qatar,,,
AU,AU,,,
Ethiopia,Ethiopia,,,
AU,AU,,,
Ethiopia,Ethiopia,,,
AU,AU,,,
Ethiopia,Ethiopia,,,
Germany,Germany,,,
Berghof Foundation,N,G,,
Norway,Norway,,,
United Kingdom,United Kingdom,,,
United States of America,United States of America,,,
UN,UN,,,
Germany,Germany,,,
Berghof Foundation,Berghof Foundation,,,
Norway,Norway,,,
United Kingdom,United Kingdom,,,
United States of America,United States of America,,,
Germany,Germany,,,
Berghof Foundation,Berghof Foundation,,,
Norway,Norway,,,
United Kingdom,United Kingdom,,,
United States of America,United States of America,,,
UN,UN,,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
Sudan,Sudan,,,
United States of America,United States of America,,,
United Kingdom,United Kingdom,,,
Norway,Norway,,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
Sudan,Sudan,,,
South Sudan Council of Churches,South Sudan Council of Churches,,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
Sudan,Sudan,,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
Sudan,Sudan,,,
United Kingdom,United Kingdom,,,
United States of America,United States of America,,,
Norway,Norway,,,
Sudan,Sudan,,,
Uganda,Uganda,,,
IGAD,IGAD,,,
Sudan,Sudan,,,
Uganda,Uganda,,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
Sudan,Sudan,,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
Sudan,Sudan,,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
Sudan,Sudan,,,
IGAD,IGAD,,,
Kenya,Kenya,,,
Ethiopia,Ethiopia,,,
Eritrea,Eritrea,,,
Uganda,Uganda,,,
Sudan,Sudan,,,
AU,AU,,,
Algeria,Algeria,,,
Chad,Chad,,,
Nigeria,Nigeria,,,
Rwanda,Rwanda,,,
South Africa,South Africa,,,
United Kingdom,United Kingdom,,,
United States of America,United States of America,,,
Norway,Norway,,,
China,China,,,
EU,EU,,,
UN,UN,,,
EU,EU,,,
Norway,Norway,,,
Ireland,S,G,,
Japan,S,G,,
United Kingdom,United Kingdom,,,
China,China,,,
United States of America,United States of America,,,
UN,UN,,,
United Arab Emirates,S,G,,
Egypt,Egypt,,,
Saudi Arabia,Saudi Arabia,,,
United Arab Emirates,United Arab Emirates,,,
Saudi Arabia,Saudi Arabia,,,
United Arab Emirates,United Arab Emirates,,,
United Kingdom,United Kingdom,,,
United States of America,United States of America,,,
United Arab Emirates,United Arab Emirates,,,
South Sudan,S,R,,
South Sudan,United Arab Emirates,,,
IGAD,South Sudan,,,
Kenya,IGAD,,,
Ethiopia,Kenya,,,
Eritrea,Ethiopia,,,
Uganda,Eritrea,,,
Sudan,Uganda,,,
Uganda,Sudan,,,
Sudan,Uganda,,,
Kenya,Sudan,,,
IGAD,Kenya,,,
Kenya,IGAD,,,
Ethiopia,Kenya,,,
Eritrea,Ethiopia,,,
Uganda,Eritrea,,,
Sudan,Uganda,,,
South Sudan,Sudan,,,
UN,South Sudan,,,
Community of Sant’ Egidio,UN,,,
United Kingdom,Community of Sant’ Egidio,,,
United States of America,United Kingdom,,,
Norway,United States of America,,,
UN,Norway,,,
ICRC,N,G,,
UN,,,,
UN,UN,,,
Community of Sant’ Egidio,UN,,,
UN,Community of Sant’ Egidio,,,
United Kingdom,,,,
Sweden,S,G,,
UN,,,,
Saudi Arabia,UN,,,
UN,Saudi Arabia,,,
Qatar,UN,,,
Spain,Qatar,,,
ICRC,Spain,,,
South Sudan,ICRC,,,
UN,South Sudan,,,
UN,UN,,,
UN,UN,,,
UN,UN,,,
IGAD,UN,,,
ACCORD,N,R,,
Sweden,,,,
African Development Bank,R,R,,
Canada,S,G,,
Egypt,,,,
EU,,,,
Ethiopia,Egypt,,,
France,EU,,,
Germany,Ethiopia,,,
Italy,France,,,
Japan,Germany,,,
Kuwait,S,G,,
The Netherlands,S,G,,
Norway,,,,
Qatar,,,,
Saudi Arabia,Norway,,,
United Arab Emirates,Qatar,,,
United Kingdom,Saudi Arabia,,,
UN,United Arab Emirates,,,
United States of America,United Kingdom,,,
World Bank,G,G,,
South Sudan,United States of America,,,
EU,,,,
AU,The Netherlands,,,
UN,UN,,,
UN,,,,
South Sudan,World Bank,,,
UN,South Sudan,,,
United Kingdom,EU,,,
Norway,AU,,,
United States of America,AU,,,
EU,Italy,,,
Germany,UN,,,
South Sudan,UN,,,
Sweden,UN,,,
African Development Bank,South Sudan,,,
Canada,UN,,,
Egypt,United Kingdom,,,
EU,Norway,,,
Ethiopia,United States of America,,,
France,EU,,,
Germany,Germany,,,
Italy,South Sudan,,,
Japan,Sweden,,,
Kuwait,African Development Bank,,,
The Netherlands,Canada,,,
Norway,Egypt,,,
Qatar,EU,,,
Saudi Arabia,Ethiopia,,,
United Arab Emirates,France,,,
United Kingdom,Germany,,,
UN,Italy,,,
United States of America,Japan,,,
World Bank,Kuwait,,,
Belgium,S,G,,
China,Norway,,,
Croatia,S,G,,
Czechia,S,G,,
Denmark,S,G,,
Estonia,S,G,,
Finland,S,G,,
Greece,S,G,,
Hungary,S,G,,
Ireland,,,,
Lithuania,S,G,,
Malta,S,G,,
Poland,S,G,,
Portugal,S,G,,
The Republic of Korea,S,G,,
Romania,,,,
Russia,,,,
Slovenia,S,G,,
South Africa,Ireland,,,
South Sudan,,,,
Spain,,,,
Switzerland,,,,
Turkiye,,,,
African Development Bank,,,,
AU,Romania,,,
Arab Fund for Social Development,R,R,,
IGAD,,,,
IMF,G,G,,
Islamic Development Bank,N,G,,
Arab League,Spain,,,
South Sudan,Switzerland,,,
UN,Turkiye,,,
South Sudan,African Development Bank,,,
Sweden,AU,,,
African Development Bank,,,,
Canada,IGAD,,,
Egypt,,,,
EU,,,,
Ethiopia,Arab League,,,
France,UN,,,
Germany,Japan,,,
Italy,UN,,,
Japan,South Sudan,,,
Kuwait,UN,,,
The Netherlands,South Sudan,,,
Norway,Sweden,,,
Qatar,African Development Bank,,,
Saudi Arabia,Canada,,,
United Arab Emirates,Egypt,,,
United Kingdom,EU,,,
UN,Ethiopia,,,
United States of America,France,,,
World Bank,Germany,,,
Belgium,Italy,,,
China,Japan,,,
Croatia,Kuwait,,,
Czechia,The Netherlands,,,
Denmark,Norway,,,
Estonia,Qatar,,,
Finland,Saudi Arabia,,,
Greece,United Arab Emirates,,,
Hungary,United Kingdom,,,
Ireland,UN,,,
Lithuania,United States of America,,,
Malta,World Bank,,,
Poland,Belgium,,,
Portugal,China,,,
The Republic of Korea,Croatia,,,
Romania,Czechia,,,
Russia,Denmark,,,
Slovenia,Estonia,,,
South Africa,Finland,,,
South Sudan,Greece,,,
Spain,Hungary,,,
Switzerland,Ireland,,,
Turkiye,Lithuania,,,
African Development Bank,Malta,,,
AU,Poland,,,
Arab Fund for Social Development,Portugal,,,
IGAD,The Republic of Korea,,,
IMF,Romania,,,
Islamic Development Bank,Russia,,,
Arab League,Slovenia,,,
South Sudan,South Africa,,,
UN,South Sudan,,,
South Sudan,Spain,,,
UN,Switzerland,,,
AU,Turkiye,,,
Egypt,African Development Bank,,,
Qatar,AU,,,
EU,Arab Fund for Social Development,,,
Arab League,IGAD,,,
United Kingdom,IMF,,,
United States of America,Islamic Development Bank,,,
Norway,Arab League,,,
UN,South Sudan,,,
UN,UN,,,
IGAD,South Sudan,,,
IGAD,UN,,,
EU,AU,,,
EU,Egypt,,,
UN,Qatar,,,
The Native Administration,N,R,,
The Peaceful Co-Existence Committee,N,R,,
South Sudan,United Kingdom,,,
United Kingdom,United States of America,,,
United States of America,Norway,,,
Norway,UN,,,
Community of Sant’ Egidio,UN,,,
IGAD,IGAD,,,
AU,IGAD,,,
IGAD,EU,,,
South Africa,EU,,,
Kenya,UN,,,
Uganda,,,,
EU,,,,
UN,South Sudan,,,
AU,UN,,,
UN,ICRC,,,
UN,United Kingdom,,,
IGAD,United States of America,,,
Sudan,Norway,,,
Uganda,Community of Sant’ Egidio,,,
South Sudan,IGAD,,,
Somalia,AU,,,
Djibouti,IGAD,,,
Kenya,South Africa,,,
Ethiopia,Kenya,,,
AU,Uganda,,,
Community of Sant’ Egidio,EU,,,
AU,UN,,,
Djibouti,AU,,,
Algeria,UN,,,
Angola,UN,,,
Burundi,S,R,,
Equatorial Guinea,S,R,,
Lesotho,S,R,,
Morocco,S,R,,
Nigeria,Somalia,,,
Togo,S,R,,
Gabon,S,R,,
Kenya,Ethiopia,,,
Liberia,S,R,,
Rwanda,Community of Sant’ Egidio,,,
Sierra Leone,S,R,,
Zimbabwe,S,R,,
UN,Algeria,,,
Christian Relief,N,G,,
UN,,,,
United Kingdom,,,,
United States of America,,,,
Norway,,,,
Abyei businessmen,N,R,,
UN,,,,
UN,,,,
Community of Sant’ Egidio,Kenya,,,
IGAD,,,,
Sudan,Rwanda,,,
Uganda,,,,
Djibouti,,,,
South Sudan,UN,,,
Somalia,,,,
Kenya,UN,,,
Ethiopia,UN,,,
UN,United Kingdom,,,
AU,United States of America,,,
EU,Norway,,,
RJMEC,R,G,,
RJMEC,Abyei businessmen,,,
China,UN,,,
UN,UN,,,
UN,Community of Sant’ Egidio,,,
UN,IGAD,,,
Community of Sant’ Egidio,Sudan,,,
UN,Uganda,,,
United Kingdom,Djibouti,,,
United States of America,South Sudan,,,
Norway,Somalia,,,
IGAD,Kenya,,,
UN,Ethiopia,,,
UN,UN,,,
South Sudan,AU,,,
South Sudan,EU,,,
IGAD,China,,,
South Sudan,UN,,,
UN,UN,,,
United States of America,UN,,,
UN,Community of Sant’ Egidio,,,
EU,UN,,,
France,United Kingdom,,,
World Bank,United States of America,,,
AU,Norway,,,
Arab League,IGAD,,,
Canada,UN,,,
China,UN,,,
Egypt,South Sudan,,,
Ethiopia,South Sudan,,,
Germany,IGAD,,,
Italy,South Sudan,,,
Japan,UN,,,
Kuwait,United States of America,,,
IMF,UN,,,
the Netherlands,UN,,,
Norway,EU,,,
Qatar,France,,,
Rwanda,World Bank,,,
Russia,AU,,,
Saudi Arabia,Arab League,,,
South Sudan,Canada,,,
Spain,China,,,
Sweden,Egypt,,,
United Arab Emirates,Ethiopia,,,
United Kingdom,Germany,,,
United States of America,Italy,,,
South Sudan,Japan,,,
ICC,G,G,,
UN,IMF,,,
UN,the Netherlands,,,
UN,Norway,,,
Norway,Qatar,,,
United Kingdom,Rwanda,,,
United States of America,Russia,,,
UN,Saudi Arabia,,,
France,South Sudan,,,
Germany,Spain,,,
Norway,Sweden,,,
Saudi Arabia,United Arab Emirates,,,
Sweden,United Kingdom,,,
United Arab Emirates,United States of America,,,
United Kingdom,UN,,,
United States of America,South Sudan,,,
EU,ICC,,,
UN,UN,,,
UN,UN,,,
UN,UN,,,
AU,Norway,,,
South Sudanese religious leaders,N,R,,
UN,United States of America,,,
UN,UN,,,
UN,AU,,,
RJMEC,UN,,,
IGAD,France,,,
UN,Germany,,,
UN,Norway,,,
UN,Saudi Arabia,,,
AU,Sweden,,,
IGAD,United Arab Emirates,,,
RJMEC,United Kingdom,,,
IGAD,United States of America,,,
UN,EU,,,
Sudan,UN,,,
UN,UN,,,
Germany,UN,,,
AU,AU,,,
IGAD,UN,,,
African Diplomatic Corps,R,R,,
UN,UN,,,
UN,UN,,,
Community of Sant’ Egidio,UN,,,
South Sudan Council of Churches,IGAD,,,
UN,UN,,,
Switzerland,IGAD,,,
UN,UN,,,
RJMEC,UN,,,
Türkiye,S,G,,
UN,AU,,,
Kenya,IGAD,,,
UN,IGAD,,,
IGAD,UN,,,
UN,Sudan,,,
UN,UN,,,
IGAD,Germany,,,
United Kingdom,AU,,,
United States of America,IGAD,,,
Norway,,,,
UN,UN,,,
IGAD,UN,,,
RJMEC,Community of Sant’ Egidio,,,
AU,South Sudan Council of Churches,,,
AU,UN,,,
UN,Switzerland,,,
RJMEC,UN,,,
IGAD,IGAD,,,
CTSAMVM,G,R,,
